The parameter values used or converged in the simulated result:
Initial LAI  =   0.03744
Parameter a = 0.00040726
Parameter b = 0.0053678
Parameter c =  0.035689

Estimated grain yield (kg/ha) :
    0.0

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
261 112 1578.3    nan   4.61  1346.5   6.69  10.80   3.88    0.0
262 113 1595.8    nan   4.55  1363.9   7.52  12.71   3.66    0.0
263 114 1609.2    nan   4.49  1383.4   5.72   9.35   3.83    0.0
264 115 1618.6    nan   4.43  1398.2   6.67   3.39   3.72    0.0
265 116 1627.2    nan   4.38  1415.5   7.53  11.96   1.85    0.0
266 117 1635.2    nan   4.32  1435.0   6.85  10.88   3.57    0.0
267 118 1643.6    nan   4.27  1452.7   7.80   9.08   3.76    0.0
268 119 1650.9    nan   4.22  1472.9   4.81   7.90   2.74    0.0
269 120 1659.9    nan   4.18  1485.4   3.36  12.38   2.17    0.0
270 121 1668.2    nan   4.13  1494.1   7.54  12.01   3.04    0.0
271 122 1678.5    nan   4.09  1513.7   3.96  12.23   3.51    0.0
272 123 1687.6    nan   4.04  1523.9   7.51  12.04   3.72    0.0
273 124 1697.7    nan   4.00  1543.4   7.16  12.07   4.27    0.0
274 125 1708.2    nan   3.97  1562.0   6.75  11.72   4.23    0.0
275 126 1719.3    nan   3.93  1579.5   6.45  10.95   4.14    0.0
276 127 1731.1   3.73   3.90  1596.2   2.92  10.93   3.58    0.0
277 128 1745.9    nan   3.86  1603.7   2.17   7.35   3.60    0.0
278 129 1754.5    nan   3.83  1609.4   6.60  10.15   2.92    0.0
279 130 1760.3    nan   3.80  1626.5   4.99   9.55   3.75    0.0
280 131 1765.9    nan   3.78  1639.4   5.68   7.73   3.54    0.0
281 132 1771.0    nan   3.75  1654.2   4.12   4.60   3.48    0.0
282 133 1775.7    nan   3.72  1664.8   1.70  11.13   2.61    0.0
283 134 1778.4    nan   3.70  1669.3   4.21  11.38   3.50    0.0
284 135 1779.9    nan   3.68  1680.2   6.39  11.33   3.30    0.0
285 136 1782.7    nan   3.65  1696.7   0.00  10.98   4.15    0.0
286 137 1785.7    nan   3.63  1696.7   5.17  10.92   4.68    0.0
287 138 1791.2    nan   3.60  1710.1   5.85   8.82   4.51    0.0
