Mean yield (ton/ha):273.704  std:221.852
 Max yield (ton/ha):826.467
 Min yield (ton/ha):  0.000

DOY  OLAI  Std_OLAI  SLAI  Std_SLAI     AGDM  Std_AGDM   NPP   GPP   ETc   PGP
312   nan       nan   1.6      0.79    905.4    267.25   1.7   5.4   3.6 573.3
313   1.1      0.30   1.6      0.79    909.8    268.00   2.3   5.8   3.1 573.3
314   nan       nan   1.6      0.79    915.8    268.98   2.3   5.0   3.6 573.3
315   nan       nan   1.6      0.80    921.9    270.02   1.7   1.4   3.8 573.3
316   nan       nan   1.6      0.80    926.3    270.76   2.0   5.3   2.4 573.3
317   nan       nan   1.6      0.80    931.5    271.69   2.1   5.6   3.1 573.3
318   nan       nan   1.6      0.80    937.1    272.63   1.9   5.6   3.3 573.3
319   nan       nan   1.5      0.80    941.9    273.47   2.2   3.6   4.1 573.3
320   nan       nan   1.5      0.80    951.3    275.38   1.3   1.3   3.6 576.7
321   0.8      0.11   1.5      0.80    954.8    275.93   1.6   1.7   1.9 576.7
322   nan       nan   1.5      0.81    958.9    276.65   1.9   3.8   2.0 576.7
323   nan       nan   1.5      0.81    963.9    277.54   1.3   4.0   2.9 576.7
324   nan       nan   1.5      0.81    967.4    278.13   1.7   5.0   3.2 576.7
325   nan       nan   1.5      0.81    971.7    278.88   1.7   4.0   3.5 576.7
326   nan       nan   1.5      0.81    976.0    279.66   2.0   5.0   2.9 576.7
327   nan       nan   1.5      0.81    981.2    280.58   0.0   5.1   3.3 576.7
